code,name,sorting,focalGroupId,brand,materialPropertyId,balancingLens,lenti,trafficRestrictions,singleLensOrder,topology,antireflex,color,photocromic,hard,clean,uvAbsorbing,mirrored,polarised,contrastEnhancing,uvThreshold,uvATransmission,uvBTransmission,thicknessreduction,specialThickness,warranty,travellerService,ranges,orderOptionGroupId,trad_fr,display,prix,prog,trad_fr2,gtin
206253,TRN GEN 8 1.5 - Amber,131,1,,6,1,0,,YES,SPHERICAL,NONE,,1,NONE,NONE,1,0,0,0,0,0,0,NONE,0,0,0,"[{""geoId"": {""0"": ""1""},""rangeId"": {""0"": ""163""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""1""},""rangeId"": {""0"": ""164""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""1""},""rangeId"": {""0"": ""165""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""1""},""rangeId"": {""0"": ""139""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""1""},""rangeId"": {""0"": ""180""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}}]",1,"Freestyle SV 1,5 Transition Ambre",X,30,0,"Freestyle SV 1,5 Transition Ambre",3.66612E+12
206255,TRN GEN 8 1.5 - Emerald,133,1,,6,1,0,,YES,SPHERICAL,NONE,,1,NONE,NONE,1,0,0,0,0,0,0,NONE,0,0,0,"[{""geoId"": {""0"": ""1""},""rangeId"": {""0"": ""176""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""1""},""rangeId"": {""0"": ""177""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""1""},""rangeId"": {""0"": ""178""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""1""},""rangeId"": {""0"": ""193""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""1""},""rangeId"": {""0"": ""194""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}}]",1,"Freestyle SV 1,5 Transition Émeraude",X,30,0,"Freestyle SV 1,5 Transition Émeraude",3.66612E+12
206624,TRN GEN 8 1.5 AS - Amber,132,1,,5,1,0,,YES,ASPHERIC,NONE,,1,NONE,NONE,1,0,0,0,0,0,0,NONE,0,0,0,"[{""geoId"": {""0"": ""1""},""rangeId"": {""0"": ""1573""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""1""},""rangeId"": {""0"": ""1574""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""1""},""rangeId"": {""0"": ""1575""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""1""},""rangeId"": {""0"": ""1576""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""1""},""rangeId"": {""0"": ""1577""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}}]",0,"Freestyle SV 1,5 Asphérique Transition Ambre",X,35,0,"Freestyle SV 1,5 Asphérique Transition Ambre",3.66612E+12
206627,Platinum Hard R 1.5 TRN GEN 8-Amber,8594,3,,6,1,0,NOT_FOR_NIGHT_DRIVING,YES,ASPHERIC,NONE,,1,NONE,NONE,1,0,0,0,0,0,0,NONE,0,0,0,"[{""geoId"": {""0"": ""14""},""rangeId"": {""0"": ""441""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""14""},""rangeId"": {""0"": ""442""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""14""},""rangeId"": {""0"": ""443""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""14""},""rangeId"": {""0"": ""444""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""14""},""rangeId"": {""0"": ""714""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""14""},""rangeId"": {""0"": ""715""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""14""},""rangeId"": {""0"": ""924""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""14""},""rangeId"": {""0"": ""925""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""14""},""rangeId"": {""0"": ""926""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""14""},""rangeId"": {""0"": ""927""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}}]",1,"Platinium 1,5 Transition Ambre Long",X,48,0,"Platinium 1,5 Transition Ambre Long",3.66612E+12
206628,Platinum Hard S 1.5 TRN GEN 8-Amber,8593,3,,6,1,0,NOT_FOR_NIGHT_DRIVING,YES,ASPHERIC,NONE,,1,NONE,NONE,1,0,0,0,0,0,0,NONE,0,0,0,"[{""geoId"": {""0"": ""15""},""rangeId"": {""0"": ""441""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""15""},""rangeId"": {""0"": ""442""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""15""},""rangeId"": {""0"": ""443""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""15""},""rangeId"": {""0"": ""444""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""15""},""rangeId"": {""0"": ""714""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""15""},""rangeId"": {""0"": ""715""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""15""},""rangeId"": {""0"": ""924""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""15""},""rangeId"": {""0"": ""925""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""15""},""rangeId"": {""0"": ""926""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""15""},""rangeId"": {""0"": ""927""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}}]",1,"Platinium 1,5 Transition Ambre Moyen",X,48,0,"Platinium 1,5 Transition Ambre Moyen",3.66612E+12
206629,Platinum Hard E 1.5 TRN GEN 8-Amber,8592,3,,6,1,0,NOT_FOR_NIGHT_DRIVING,YES,ASPHERIC,NONE,,1,NONE,NONE,1,0,0,0,0,0,0,NONE,0,0,0,"[{""geoId"": {""0"": ""16""},""rangeId"": {""0"": ""441""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""16""},""rangeId"": {""0"": ""442""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""16""},""rangeId"": {""0"": ""443""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""16""},""rangeId"": {""0"": ""444""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""16""},""rangeId"": {""0"": ""714""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""16""},""rangeId"": {""0"": ""715""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""16""},""rangeId"": {""0"": ""924""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""16""},""rangeId"": {""0"": ""925""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""16""},""rangeId"": {""0"": ""926""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""16""},""rangeId"": {""0"": ""927""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}}]",1,"Platinium 1,5 Transition Ambre Court",X,48,0,"Platinium 1,5 Transition Ambre Court",3.66612E+12
206630,Platinum Hard U 1.5 TRN GEN 8-Amber,8591,3,,6,1,0,NOT_FOR_NIGHT_DRIVING,YES,ASPHERIC,NONE,,1,NONE,NONE,1,0,0,0,0,0,0,NONE,0,0,0,"[{""geoId"": {""0"": ""31""},""rangeId"": {""0"": ""441""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""31""},""rangeId"": {""0"": ""442""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""31""},""rangeId"": {""0"": ""443""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""31""},""rangeId"": {""0"": ""444""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""31""},""rangeId"": {""0"": ""714""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""31""},""rangeId"": {""0"": ""715""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""31""},""rangeId"": {""0"": ""924""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""31""},""rangeId"": {""0"": ""925""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""31""},""rangeId"": {""0"": ""926""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""31""},""rangeId"": {""0"": ""927""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}}]",1,"Platinium 1,5 Transition Ambre Très Court",X,48,0,"Platinium 1,5 Transition Ambre Très Court",3.66612E+12
206627,Platinum Hard R 1.5 TRN GEN 8-Amber,4354,3,,6,1,0,NOT_FOR_NIGHT_DRIVING,YES,ASPHERIC,NONE,,1,NONE,NONE,1,0,0,0,0,0,0,NONE,0,0,0,"[{""geoId"": {""0"": ""14""},""rangeId"": {""0"": ""441""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""14""},""rangeId"": {""0"": ""442""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""14""},""rangeId"": {""0"": ""443""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""14""},""rangeId"": {""0"": ""444""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""14""},""rangeId"": {""0"": ""714""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""14""},""rangeId"": {""0"": ""715""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""14""},""rangeId"": {""0"": ""924""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""14""},""rangeId"": {""0"": ""925""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""14""},""rangeId"": {""0"": ""926""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""14""},""rangeId"": {""0"": ""927""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}}]",1,"Elysium 1,5 Transition Ambre Long",X,48,0,"Elysium 1,5 Transition Ambre Long",3.66612E+12
206628,Platinum Hard S 1.5 TRN GEN 8-Amber,4353,3,,6,1,0,NOT_FOR_NIGHT_DRIVING,YES,ASPHERIC,NONE,,1,NONE,NONE,1,0,0,0,0,0,0,NONE,0,0,0,"[{""geoId"": {""0"": ""15""},""rangeId"": {""0"": ""441""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""15""},""rangeId"": {""0"": ""442""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""15""},""rangeId"": {""0"": ""443""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""15""},""rangeId"": {""0"": ""444""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""15""},""rangeId"": {""0"": ""714""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""15""},""rangeId"": {""0"": ""715""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""15""},""rangeId"": {""0"": ""924""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""15""},""rangeId"": {""0"": ""925""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""15""},""rangeId"": {""0"": ""926""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""15""},""rangeId"": {""0"": ""927""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}}]",1,"Elysium 1,5 Transition Ambre Moyen",X,48,0,"Elysium 1,5 Transition Ambre Moyen",3.66612E+12
206629,Platinum Hard E 1.5 TRN GEN 8-Amber,4352,3,,6,1,0,NOT_FOR_NIGHT_DRIVING,YES,ASPHERIC,NONE,,1,NONE,NONE,1,0,0,0,0,0,0,NONE,0,0,0,"[{""geoId"": {""0"": ""16""},""rangeId"": {""0"": ""441""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""16""},""rangeId"": {""0"": ""442""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""16""},""rangeId"": {""0"": ""443""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""16""},""rangeId"": {""0"": ""444""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""16""},""rangeId"": {""0"": ""714""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""16""},""rangeId"": {""0"": ""715""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""16""},""rangeId"": {""0"": ""924""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""16""},""rangeId"": {""0"": ""925""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""16""},""rangeId"": {""0"": ""926""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""16""},""rangeId"": {""0"": ""927""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}}]",1,"Elysium 1,5 Transition Ambre Court",X,48,0,"Elysium 1,5 Transition Ambre Court",3.66612E+12
206630,Platinum Hard U 1.5 TRN GEN 8-Amber,4351,3,,6,1,0,NOT_FOR_NIGHT_DRIVING,YES,ASPHERIC,NONE,,1,NONE,NONE,1,0,0,0,0,0,0,NONE,0,0,0,"[{""geoId"": {""0"": ""31""},""rangeId"": {""0"": ""441""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""31""},""rangeId"": {""0"": ""442""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""31""},""rangeId"": {""0"": ""443""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""31""},""rangeId"": {""0"": ""444""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""31""},""rangeId"": {""0"": ""714""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""31""},""rangeId"": {""0"": ""715""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""31""},""rangeId"": {""0"": ""924""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""31""},""rangeId"": {""0"": ""925""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""31""},""rangeId"": {""0"": ""926""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""31""},""rangeId"": {""0"": ""927""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}}]",1,"Elysium 1,5 Transition Ambre Très Court",X,48,0,"Elysium 1,5 Transition Ambre Très Court",3.66612E+12
206631,Omega R 1.5 TRN GEN 8-Amber,5554,3,,40,1,0,,YES,ASPHERIC,NONE,,1,NONE,NONE,1,0,0,0,0,0,0,NONE,0,0,0,"[{""geoId"": {""0"": ""14""},""rangeId"": {""0"": ""331""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""14""},""rangeId"": {""0"": ""332""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""14""},""rangeId"": {""0"": ""333""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""14""},""rangeId"": {""0"": ""334""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""14""},""rangeId"": {""0"": ""341""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""14""},""rangeId"": {""0"": ""342""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""14""},""rangeId"": {""0"": ""421""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""14""},""rangeId"": {""0"": ""422""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""14""},""rangeId"": {""0"": ""423""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""14""},""rangeId"": {""0"": ""424""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}}]",1,"Omega 1,5 Transition Ambre Long",X,56,0,"Omega 1,5 Transition Ambre Long",3.66612E+12
206632,Omega S 1.5 TRN GEN 8-Amber,5553,3,,40,1,0,,YES,ASPHERIC,NONE,,1,NONE,NONE,1,0,0,0,0,0,0,NONE,0,0,0,"[{""geoId"": {""0"": ""15""},""rangeId"": {""0"": ""331""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""15""},""rangeId"": {""0"": ""332""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""15""},""rangeId"": {""0"": ""333""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""15""},""rangeId"": {""0"": ""334""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""15""},""rangeId"": {""0"": ""341""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""15""},""rangeId"": {""0"": ""342""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""15""},""rangeId"": {""0"": ""421""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""15""},""rangeId"": {""0"": ""422""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""15""},""rangeId"": {""0"": ""423""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""15""},""rangeId"": {""0"": ""424""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}}]",1,"Omega 1,5 Transition Ambre Moyen",X,56,0,"Omega 1,5 Transition Ambre Moyen",3.66612E+12
206633,Omega E 1.5 TRN GEN 8-Amber,5552,3,,40,1,0,,YES,ASPHERIC,NONE,,1,NONE,NONE,1,0,0,0,0,0,0,NONE,0,0,0,"[{""geoId"": {""0"": ""16""},""rangeId"": {""0"": ""331""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""16""},""rangeId"": {""0"": ""332""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""16""},""rangeId"": {""0"": ""333""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""16""},""rangeId"": {""0"": ""334""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""16""},""rangeId"": {""0"": ""341""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""16""},""rangeId"": {""0"": ""342""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""16""},""rangeId"": {""0"": ""421""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""16""},""rangeId"": {""0"": ""422""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""16""},""rangeId"": {""0"": ""423""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}},{""geoId"": {""0"": ""16""},""rangeId"": {""0"": ""424""},""combinationTreeId"":{""0"":""21"",""@attributes"":{""prio"":1}}}]",1,"Omega 1,5 Transition Ambre Court",X,56,0,"Omega 1,5 Transition Ambre Court",3.66612E+12
